DIRECTORIO,P6800,mes
7859241,60,Julio_2024
7859242,48,Julio_2024
7859243,65,Julio_2024
7859245,50,Julio_2024
7859245,48,Julio_2024
7859245,24,Julio_2024
7859246,48,Julio_2024
7859246,48,Julio_2024
7859247,50,Julio_2024
7859250,50,Julio_2024
7859251,60,Julio_2024
7859252,40,Julio_2024
7859252,48,Julio_2024
7859252,48,Julio_2024
7859253,30,Julio_2024
7859253,36,Julio_2024
7859253,60,Julio_2024
7859255,48,Julio_2024
7859255,47,Julio_2024
7859258,48,Julio_2024
7859259,40,Julio_2024
7859259,48,Julio_2024
7859260,48,Julio_2024
7859260,20,Julio_2024
7859261,60,Julio_2024
7859261,40,Julio_2024
7859262,30,Julio_2024
7859262,48,Julio_2024
7859265,48,Julio_2024
7859265,48,Julio_2024
7859266,60,Julio_2024
7859266,48,Julio_2024
7859266,38,Julio_2024
7859267,40,Julio_2024
7859268,72,Julio_2024
7859270,48,Julio_2024
7859270,48,Julio_2024
7859270,48,Julio_2024
7859271,48,Julio_2024
7859273,50,Julio_2024
7859273,40,Julio_2024
7859274,48,Julio_2024
7859274,12,Julio_2024
7859275,54,Julio_2024
7859275,20,Julio_2024
7859275,15,Julio_2024
7859276,50,Julio_2024
7859277,30,Julio_2024
7859277,30,Julio_2024
7859278,44,Julio_2024
7859280,48,Julio_2024
7859281,84,Julio_2024
7859282,47,Julio_2024
7859282,15,Julio_2024
7859283,30,Julio_2024
7859284,53,Julio_2024
7859284,35,Julio_2024
7859284,66,Julio_2024
7859286,28,Julio_2024
7859286,60,Julio_2024
7859287,45,Julio_2024
7859288,48,Julio_2024
7859288,48,Julio_2024
7859290,40,Julio_2024
7859290,48,Julio_2024
7859291,40,Julio_2024
7859291,45,Julio_2024
7859294,47,Julio_2024
7859295,30,Julio_2024
7859295,47,Julio_2024
7859296,47,Julio_2024
7859296,60,Julio_2024
7859297,47,Julio_2024
7859297,47,Julio_2024
7859298,47,Julio_2024
7859300,47,Julio_2024
